id,classification_id,annotation,workflow_id,user_id,subject_id,event_time,gravityspy_id,ifo,main_channel_name,event_generator,annotation_channel_names,hveto_round_number
1,435720898,{},21793,1455701,79008488,1262795817.9375,safmZSDyRNQfjee9KmfU,H1,H1:GDS-CALIB_STRAIN,None,{},1
2,435721122,{},21793,1455701,79008486,1262814241.4375,v7PTMKTSIX3bfo5EJVvB,H1,H1:GDS-CALIB_STRAIN,None,{},1
3,430340642,"{1,2}",21793,2450285,79008488,1262795817.9375,safmZSDyRNQfjee9KmfU,H1,H1:GDS-CALIB_STRAIN,None,"{H1:ASC-AS_A_RF45_Q_YAW_OUT_DQ,H1:LSC-POP_A_LF_OUT_DQ}",1
4,431239630,{0},21793,2450285,79008493,1262799565.9375,3nsITzWw9ot74zToHMIL,H1,H1:GDS-CALIB_STRAIN,None,{H1:ASC-Y_TR_A_NSUM_OUT_DQ},1
5,420761483,{},21793,1455701,76084812,1262362726.441406,SaSaYE0vmRU1UlAJ0s7H,L1,L1:GDS-CALIB_STRAIN,None,{},10
6,420761578,"{0,1,2}",21793,1455701,76083611,1262812147.8125,07XNRh8OSocwbXd878nE,H1,H1:GDS-CALIB_STRAIN,None,"{H1:ASC-Y_TR_A_NSUM_OUT_DQ,H1:ASC-AS_A_RF45_I_YAW_OUT_DQ,H1:ASC-AS_A_RF45_I_PIT_OUT_DQ}",1
7,420761505,{},21793,1455701,76084394,1262812993.6875,ATQ54DRGPTZaYK6TyXBB,H1,H1:GDS-CALIB_STRAIN,None,{},2
8,420761597,{0},21793,1455701,76085177,1262385717.8125,6WzX83PTMownwhezxqjx,L1,L1:GDS-CALIB_STRAIN,None,{L1:SUS-ITMY_L3_OPLEV_YAW_OUT_DQ},4
9,420761620,{},21793,1455701,76085806,1262387100.9375,JOFto6WFQiVWC3e36fFo,L1,L1:GDS-CALIB_STRAIN,None,{},9
10,420761626,{},21793,1455701,76085116,1262806421.0625,vm8og8df2xxWNma15OhR,H1,H1:GDS-CALIB_STRAIN,None,{},8
11,420768487,"{0,2}",21793,2409581,76085178,1262385717.8125,6WzX83PTMownwhezxqjx,L1,L1:GDS-CALIB_STRAIN,None,"{L1:ASC-AS_A_RF45_Q_YAW_OUT_DQ,L1:IMC-IM4_TRANS_YAW_OUT_DQ}",4
12,420767915,{0},21793,2409581,76085808,1262382995.5625,MlQ7sCyJGvUYn289XyKw,L1,L1:GDS-CALIB_STRAIN,None,{L1:ASC-AS_A_RF45_Q_YAW_OUT_DQ},9
13,420767940,{},21793,2409581,76083627,1262369397.8125,ztwVE13tXs44gYTJZEsq,L1,L1:GDS-CALIB_STRAIN,None,{},1
14,420767969,{0},21793,2409581,76084839,1262814498.0625,MEYWc9tJC5spDlqbF6HZ,H1,H1:GDS-CALIB_STRAIN,None,{H1:ASC-AS_A_RF45_I_YAW_OUT_DQ},4
15,420768021,{1},21793,2409581,76084871,1262801604.4375,yOW0ZVuBu6dilRrmpo8H,H1,H1:GDS-CALIB_STRAIN,None,{H1:ASC-AS_A_RF45_I_YAW_OUT_DQ},5
16,420768112,"{0,1,2}",21793,2409581,76083603,1262814785.0625,AjH1ORLHMuX34N7P4Wlx,H1,H1:GDS-CALIB_STRAIN,None,"{H1:ASC-DHARD_Y_OUT_DQ,H1:ASC-AS_A_RF45_Q_YAW_OUT_DQ,H1:LSC-POP_A_LF_OUT_DQ}",1
